,CCODE,STATE,REG_START,REG_END,REG_PARTY,REG_REINST,ELITE_NAME,ELITE_BIRTHDATE,ELITE_DEATHDATE,ELITE_FEMALE,ELITE_REENTER,ELITE_REEXIT,ELITE_CANDENTER,ELITE_CANDEXIT,ELITE_MEMENTER,ELITE_MEMEXIT,ELITE_RETENURE,ELITE_ENTERAGE,ELITE_EXITAGE,ELITE_EXITTYPE,ELITE_EXITFATE,ELITE_EXITLEADER,ELITE_OCCUPATION,ELITE_ETHNICITY
0,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Aliyev, Geydar",1923/05/10,2003/12/12,0,1976/03/05,1987/10/21,1976-03-05 00:00:00,1982-11-22 00:00:00,1982-11-22 00:00:00,1987-10-21 00:00:00,11.635616438356164,52.85753424657534,64.4931506849315,Resignation,No Punishment,Gorbachev,State security,Azeri
1,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Andreyev, Andrei Andreevich",1895/10/30,1971/12/05,0,1926/07/23,1952/10/05,1926-07-23 00:00:00,1934-02-10 00:00:00,1934-02-10 00:00:00,1952-10-05 00:00:00,26.221917808219178,32.15616438,56.96986301,Demotion,No Punishment,Stalin,Trade unionist,Russian
2,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Andrianov, Vasily Mikhailovich",1902/03/21,1978/10/03,0,1952/10/16,1953/03/06,,,1952-10-16 00:00:00,1953-03-06 00:00:00,0.3863013698630137,50.608219178082194,50.99452054794521,Demotion,No Punishment,Malenkov,Railway worker,Russian
3,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Andropov, Yuri Vladimirovich",1914/06/15,1984/02/09,0,1967/06/21,1984/02/09,1967-06-21 00:00:00,1973-04-27 00:00:00,1973-04-27 00:00:00,1984-02-09 00:00:00,16.649315068493152,53.05205479452055,69.7013698630137,Death,,Andropov,Party functionary,Russian
4,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Aristov, Averky Borisovich",1903/10/22,1973/07/11,0,1952/10/16,1953/03/06,,,1952-10-16 00:00:00,1953-03-06 00:00:00,0.3863013698630137,49.01917808219178,49.40547945205479,Demotion,No Punishment,Malenkov,Fishery worker,Russian
5,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Aristov, Averky Borisovich",1903/10/22,1973/07/11,0,1957/06/29,1961/10/31,,,1957-06-29 00:00:00,1961-10-31 00:00:00,4.342465753424658,53.723287671232875,58.06575342465754,Demotion,No Punishment,Khrushchev,Fishery worker,Russian
6,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Bagirov, Mir",1896/09/17,1956/05/07,0,1953/03/06,1953/07/07,1953-03-06 00:00:00,1953-07-07 00:00:00,,,0.336986301369863,56.5013986,56.83835616,Expulsion,Execution,Malenkov,Teacher,Azeri
7,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Belyaev, Nikolai Ilyich",1903/02/01,1966/10/28,0,1957/07/29,1960/05/04,,,1957-07-29 00:00:00,1960-05-04 00:00:00,2.767123287671233,54.52602739726027,57.293150684931504,Demotion,No Punishment,Khrushchev,Party functionary,Russian
8,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Bauman, Karl Yanovich",1892/08/17,1937/10/14,0,1929/04/29,1930/07/13,1929-04-29 00:00:00,1930-07-13 00:00:00,,,1.2054794520547945,36.72054795,37.9260274,Demotion,No Punishment,Stalin,Party functionary,Latvian
9,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Beria, Lavrentiy Pavlovich",1899/03/29,1953/12/23,0,1939/03/22,1953/07/07,1939-03-22 00:00:00,1946-03-18 00:00:00,1946-03-18 00:00:00,1953-07-07 00:00:00,14.304109589041095,30.0,54.30958904,Expulsion,Execution,Malenkov,State security,Georgian
10,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Biryukova, Aleksandra Pavlovna",1929/02/25,2008/02/20,1,1988/09/30,1990/07/14,1988-09-30 00:00:00,1990-07-14 00:00:00,,,1.7863013698630137,59.635616438356166,61.42191780821918,Demotion,No Punishment,Gorbachev,Trade unionist,Russian
11,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Brezhnev, Leonid Ilyich",1906/12/19,1982/11/10,0,1952/10/16,1953/03/06,1952-10-16 00:00:00,1953-03-06 00:00:00,,,0.3863013698630137,45.85753424657534,46.24383561643835,Demotion,No Punishment,Malenkov,Metallurgical engineer,Russian
12,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Brezhnev, Leonid Ilyich",1906/12/19,1982/11/10,0,1956/02/27,1982/11/10,1956-02-27 00:00:00,1957-06-29 00:00:00,1957-06-29 00:00:00,1982-11-10 00:00:00,26.720547945205478,49.224657534246575,75.94520547945206,Death,,Brezhnev,Metallurgical engineer,Russian
13,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Bukharin, Nikolai Ivanovich",1888/10/09,1938/03/15,0,1922/12/30,1929/11/17,2022-12-30 00:00:00,1924-05-23 00:00:00,1924-06-02 00:00:00,1929-11-17 00:00:00,6.887671232876713,34.07671233,41.13150685,Demotion,No Punishment,Stalin,Newspaper editor,Russian
14,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Bukharin, Nikolai Ivanovich",1895/06/11,1975/02/24,0,1946/03/18,1958/09/05,1946-03-18 00:00:00,1948-03-18 00:00:00,1948-03-18 00:00:00,1958-09-05 00:00:00,12.476712328767123,50.8,63.27671233,Resignation,No Punishment,Khrushchev,Newspaper editor,Russian
15,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Burokevičius, Mykolas",1927/10/07,2016/01/20,0,1990/07/14,1991/08/24,,,1990-07-14 00:00:00,1991-08-24 00:00:00,1.1123287671232878,62.81095890410959,63.92328767123288,Regime Change,,,Machinist,Lithuanian
16,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Chebrikov, Viktor Mikhailovich",1923/04/27,1999/07/02,0,1983/12/26,1989/09/20,1983-12-26 00:00:00,1985-04-23 00:00:00,1985-04-23 00:00:00,1989-09-20 00:00:00,5.739726027397261,60.706849315068496,66.44657534246575,Resignation,No Punishment,Gorbachev,Party functionary,Ukrainian
17,365,Soviet Union,1922/12/30,1991-08-24,Communist Party of the Soviet Union (KPSS),Politburo/Presidium,"Chernenko, Konstantin Ustinovich",1911/09/24,1985/03/10,0,1977/10/03,1985/03/10,1977-10-03 00:00:00,1978-11-27 00:00:00,1978-11-27 00:00:00,1985-03-10 00:00:00,7.438356164383562,66.07123287671233,73.5095890410959,Death,,Chernenko,Party functionary,Russian
