ID,STATE,REG_PARTY,REG_START,REG_END,ELITE_NAME,ELITE_FEMALE,ELITE_OCCUPATION,ELITE_BIRTHDATE,ELITE_DEATHDATE,ELITE_REENTER,ELITE_REEXIT,ELITE_RETENURE,ELITE_EXITTYPE,ELITE_EXITFATE
1,Algeria,High Committee of State,1992,2019,"Boudiaf, Mohamed",M,Party Functionary,1919,1992,1992,1992,0,Death - Assassination,na
2,Algeria,High Committee of State,1992,2019,"Kafi, Ali",M,Soldier,1928,2013,1992,1994,2,Ruling Institution Change,OK
3,Algeria,High Committee of State,1992,2019,"Malek, Redha",M,Ambassador,1931,2017,1992,1994,1,Ruling Institution Change,OK
4,Algeria,High Committee of State,1992,2019,"Nezzar, Khaled",M,Soldier,1937,na,1992,1994,2,Ruling Institution Change,OK
5,Algeria,High Committee of State,1992,2019,"Haroun, Ali",M,Lawyer,1927,na,1992,1994,2,Ruling Institution Change,OK
6,Algeria,High Committee of State,1992,2019,"Haddam, Tedjini",M,Medical Doctor,1921,2000,1992,1994,2,Ruling Institution Change,OK
7,Argentina,Junta Militar de Gobierno,1976,1983,"Videla, Jorge",M,Army officer,1925,2013,1976,1981,5,Expulsion,Expulsion
8,Argentina,Junta Militar de Gobierno,1976,1983,"Viola, Roberto",M,Army officer,1924,1994,1978,1981,3,Resignation,Resignation
9,Argentina,Junta Militar de Gobierno,1976,1983,"Galtieri, Leopoldo",M,Army officer,1926,2003,1979,1982,2,Resignation,Resignation
10,Argentina,Junta Militar de Gobierno,1976,1983,"Nicolaides, Cristino",M,Army officer,1925,2011,1982,1983,1,Regime Change,Regime Change
11,Argentina,Junta Militar de Gobierno,1976,1983,"Agosti, Orlando",M,Air Force officer,1924,1997,1976,1979,2,Resignation,Resignation
12,Argentina,Junta Militar de Gobierno,1976,1983,"Graffigna, Omar",M,Air Force officer,1926,2019,1979,1981,2,Resignation,Resignation
13,Argentina,Junta Militar de Gobierno,1976,1983,"Lami Dozo, Basilio",M,Air Force officer,1929,2017,1981,1982,0,Resignation,Resignation
14,Argentina,Junta Militar de Gobierno,1976,1983,"Hughes, Augusto Jorge",M,Air Force officer,1931,1993,1982,1983,1,Regime Change,Regime Change
15,Argentina,Junta Militar de Gobierno,1976,1983,"Massera, Emilio",M,Naval officer,1925,2010,1976,1978,2,Resignation,Resignation
16,Argentina,Junta Militar de Gobierno,1976,1983,"Lambruschini, Armanda",M,Naval officer,1924,2004,1978,1981,2,Resignation,Resignation
17,Argentina,Junta Militar de Gobierno,1976,1983,"Anaya, Jorge",M,Naval officer,1926,2008,1981,1982,1,Resignation,Resignation
18,Argentina,Junta Militar de Gobierno,1976,1983,"Franco, Ruben",M,Naval officer,1927,na,1982,1983,1,Regime Change,Regime Change
19,Argentina,Junta Militar de Gobierno,1976,1983,"Bignone, Reynaldo",M,Army officer,1928,2018,1982,1983,1,Regime Change,Regime Change
20,Argentina,Revolutionary Board,1966,1973,"Gnavi, ADM Pedro Alberto Jose",M,Naval officer,1917,1990,1970,1972,1,Resignation,OK
21,Argentina,Revolutionary Board,1966,1973,"Lanusse, LTG Alejandro Augustin",M,Army officer,1918,1996,1970,1973,2,Regime Change,na
22,Argentina,Revolutionary Board,1966,1973,"Rey, BG Carlos Alberto",M,Air Force officer,1922,2017,1970,1973,2,Regime Change,na
23,Argentina,Revolutionary Board,1966,1973,"Levingston, BG Roberto Marcelo",M,Army officer,1920,2015,1970,1971,0,Expulsion,OK
24,Argentina,Revolutionary Board,1966,1973,"Coda, ADM Carlos Guido Natal",M,Naval officer,1918,2004,1972,1973,1,Regime Change,na
25,Cambodia,Communist Party of Kampuchea (CPK),1975,1979,Leng Sary,M,Teacher,1925,2013,1975,1979,3,Regime Change,na
26,Cambodia,Communist Party of Kampuchea (CPK),1975,1979,Ke Pauk (Vin),M,Party functionary,1934,2002,1977,1979,1,Regime Change,na
27,Cambodia,Communist Party of Kampuchea (CPK),1975,1979,Khieu Samphan,M,Teacher,1931,na,1975,1979,3,Regime Change,na
28,Cambodia,Communist Party of Kampuchea (CPK),1975,1979,"Moul Sambath (Nhim Ros, Sombat)",M,Soldier,na,1978,1975,1978,3,Expulsion,Execution
29,Cambodia,Communist Party of Kampuchea (CPK),1975,1979,Noun Chea,M,Party functionary,1926,na,1975,1979,3,Regime Change,na
30,Cambodia,Communist Party of Kampuchea (CPK),1975,1979,Pol Pot (Saloth Sar),M,Teacher,1925,1998,1975,1979,3,Regime Change,na
31,Cambodia,Communist Party of Kampuchea (CPK),1975,1979,"So Phim (Vanna, Yan)",M,Soldier,1925,1978,1975,1978,3,Death,na
32,Cambodia,Communist Party of Kampuchea (CPK),1975,1979,Son Sen,M,Teacher,1930,1997,1975,1979,3,Regime Change,na
33,Cambodia,Communist Party of Kampuchea (CPK),1975,1979,Ta Mok (Ek/Oeung Choeun),M,Religious teacher,1925,2006,1975,1979,3,Regime Change,na
34,Cambodia,Communist Party of Kampuchea (CPK),1975,1979,Vorn Veth (Penh/Sok Thuok),M,Party functionary,1931,1978,1975,1978,3,Expulsion,Execution
35,Chile,Junta Militar de Gobierno,1973,1990,"Benavides, CÇsar",M,Soldier,1912,2011,1981,1985,4,Resignation,No punishment
36,Chile,Junta Militar de Gobierno,1973,1990,"Busch, Jorge Mart°nez",M,Soldier,1936,2011,1990,1990,0,Regime Change,na
37,Chile,Junta Militar de Gobierno,1973,1990,"Canessa, Julio",M,Soldier,1925,2015,1985,1987,1,Resignation,No punishment
38,Chile,Junta Militar de Gobierno,1973,1990,"Gordon, Humberto",M,Soldier,1927,2000,1987,1988,1,Resignation,No Punishment
39,Chile,Junta Militar de Gobierno,1973,1990,"Leigh, Gustavo",M,Soldier,1920,1999,1973,1978,4,Expulsion,No Punishment
40,Chile,Junta Militar de Gobierno,1973,1990,"Lucar, Jorge",M,Soldier,1934,na,1990,1990,0,Regime Change,na
41,Chile,Junta Militar de Gobierno,1973,1990,"Matthei, Fernando",M,Soldier,1925,2017,1978,1990,11,Regime Change,na
42,Chile,Junta Militar de Gobierno,1973,1990,"Mendoza, CÇsar",M,Police officer,1918,1996,1973,1985,11,Resignation,No Punishment
