order,ctryname,year,aclpcode,cowcode,cowcode2,qogctycode,qogctylett,qogctyyear,ccdcodelet,ccdcodenum,aclpyear,cowcode2year,cowcodeyear,chgterr,ychgterr,flagc_cowcode2,flage_cowcode2,entryy,exity,cid,wdicode,imf_code,politycode,bankscode,dpicode,uncode,un_region,un_region_name,un_continent,un_continent_name,aclp_region,bornyear,endyear,dupcow,dupwdi,dupun,dupdpi,dupimf,dupbanks,exselec,legselec,closed,dejure,defacto,defacto2,lparty,incumb,type2,collect,nheads,nmil,nhead,npost,ndate,eheads,ageeh,emil,royal,headdiff,ehead,epost,edate,tenure08,comm,ecens08,edeath,flageh,democracy,assconfid,poppreselec,regime,tt,ttd,tta,flagc,flagdem,flagreg,agedem,agereg,stra
1,Afghanistan,1946,142,700,700,4,AFG,41946,AFG,1,1421946,7001946,7001946,0,0,1,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,1,0,Mohammad Zahir Shah,king,11.08.33,0,14,0,1,0,Mohammad Zahir Shah,king,11.08.33,20,0,1,1,1,0,0,0,5,0,0,0,1,1,1,18,18,0
2,Afghanistan,1947,142,700,700,4,AFG,41947,AFG,1,1421947,7001947,7001947,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,15,0,1,0,Mohammad Zahir Shah,king,,20,0,1,1,0,0,0,0,5,0,0,0,0,0,0,19,19,0
3,Afghanistan,1948,142,700,700,4,AFG,41948,AFG,1,1421948,7001948,7001948,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,16,0,1,0,Mohammad Zahir Shah,king,,20,0,1,1,0,0,0,0,5,0,0,0,0,0,0,20,20,0
4,Afghanistan,1949,142,700,700,4,AFG,41949,AFG,1,1421949,7001949,7001949,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,17,0,1,0,Mohammad Zahir Shah,king,,20,0,1,1,0,0,0,0,5,0,0,0,0,0,0,21,21,0
5,Afghanistan,1950,142,700,700,4,AFG,41950,AFG,1,1421950,7001950,7001950,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,18,0,1,0,Mohammad Zahir Shah,king,,20,0,1,1,0,0,0,0,5,0,0,0,0,0,0,22,22,0
6,Afghanistan,1951,142,700,700,4,AFG,41951,AFG,1,1421951,7001951,7001951,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,19,0,1,0,Mohammad Zahir Shah,king,,20,0,1,1,0,0,0,0,5,0,0,0,0,0,0,23,23,0
7,Afghanistan,1952,142,700,700,4,AFG,41952,AFG,1,1421952,7001952,7001952,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,20,0,1,0,Mohammad Zahir Shah,king,,20,0,1,1,0,0,0,0,5,0,0,0,0,0,0,24,24,0
8,Afghanistan,1953,142,700,700,4,AFG,41953,AFG,1,1421953,7001953,7001953,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,1,0,Mohammad Zahir Shah,king,,1,1,0,0,1,Sardar Mohammad Daoud,prime minister,9.20.53,10,0,1,1,1,0,0,0,3,0,0,0,0,0,1,25,1,0
9,Afghanistan,1954,142,700,700,4,AFG,41954,AFG,1,1421954,7001954,7001954,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,2,0,0,1,Sardar Mohammad Daoud,prime minister,,10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,26,2,0
10,Afghanistan,1955,142,700,700,4,AFG,41955,AFG,1,1421955,7001955,7001955,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,3,0,0,1,Sardar Mohammad Daoud,prime minister,,10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,27,3,0
11,Afghanistan,1956,142,700,700,4,AFG,41956,AFG,1,1421956,7001956,7001956,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,4,0,0,1,Sardar Mohammad Daoud,prime minister,,10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,28,4,0
12,Afghanistan,1957,142,700,700,4,AFG,41957,AFG,1,1421957,7001957,7001957,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,5,0,0,1,Sardar Mohammad Daoud,prime minister,,10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,29,5,0
13,Afghanistan,1958,142,700,700,4,AFG,41958,AFG,1,1421958,7001958,7001958,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,6,0,0,1,Sardar Mohammad Daoud,prime minister,,10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,30,6,0
14,Afghanistan,1959,142,700,700,4,AFG,41959,AFG,1,1421959,7001959,7001959,0,0,0,0,1946,2008,700,AFG,512,700,10,AFG,4,34,Southern Asia,142,Asia,9,1919,2008,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,Mohammad Zahir Shah,king,,0,7,0,0,1,Sardar Mohammad Daoud,prime minister,,10,0,1,1,0,0,0,0,3,0,0,0,0,0,0,31,7,0
